dteday,year,month,dayofweek,hour,workingday,holiday,season,weather,temperature,humidity,count
2011-01-01,0,1,5,0,0.0,0.0,1.0,1.0,4.3,82,16.0
2011-04-13,0,4,2,18,1.0,0.0,2.0,1.0,12.7,84,321.0
2011-04-13,0,4,2,19,1.0,0.0,2.0,1.0,13.4,70,175.0
2012-05-04,1,5,4,3,1.0,0.0,2.0,1.0,18.9,88,14.0
2012-05-04,1,5,4,2,1.0,0.0,2.0,1.0,19.6,86,11.0
2011-04-14,0,4,3,14,1.0,0.0,2.0,1.0,13.1,64,137.0
2011-04-14,0,4,3,13,1.0,0.0,2.0,1.0,10.9,72,159.0
2011-04-14,0,4,3,12,1.0,0.0,2.0,1.0,8.6,83,145.0
2011-04-14,0,4,3,11,1.0,0.0,2.0,1.0,7.2,87,115.0
2011-04-14,0,4,3,10,1.0,0.0,2.0,1.0,7.6,85,89.0
2011-04-14,0,4,3,9,1.0,0.0,2.0,1.0,8.1,84,170.0
2011-04-13,0,4,2,17,1.0,0.0,2.0,1.0,12.4,89,309.0
2011-04-14,0,4,3,8,1.0,0.0,2.0,1.0,8.6,82,337.0
2012-01-10,1,1,1,15,1.0,0.0,1.0,1.0,5.2,76,136.0
2011-04-14,0,4,3,5,1.0,0.0,2.0,1.0,11.3,71,14.0
2011-04-14,0,4,3,4,1.0,0.0,2.0,1.0,11.9,69,9.0
2011-04-14,0,4,3,3,1.0,0.0,2.0,1.0,12.3,68,2.0
2011-04-14,0,4,3,2,1.0,0.0,2.0,1.0,12.5,69,3.0
2011-04-14,0,4,3,1,1.0,0.0,2.0,1.0,12.4,72,10.0
2011-04-14,0,4,3,0,1.0,0.0,2.0,1.0,12.8,71,21.0
2011-04-13,0,4,2,23,1.0,0.0,2.0,1.0,13.4,68,62.0
2011-04-13,0,4,2,22,1.0,0.0,2.0,1.0,13.7,67,99.0
2011-04-13,0,4,2,21,1.0,0.0,2.0,1.0,13.7,66,117.0
2011-04-14,0,4,3,7,1.0,0.0,2.0,1.0,9.1,79,193.0
2012-05-04,1,5,4,1,1.0,0.0,2.0,1.0,20.6,82,48.0
2012-05-03,1,5,3,16,1.0,0.0,2.0,1.0,23.2,69,370.0
2012-05-03,1,5,3,18,1.0,0.0,2.0,1.0,26.2,61,706.0
2012-05-04,1,5,4,7,1.0,0.0,2.0,1.0,17.0,97,356.0
2012-05-04,1,5,4,6,1.0,0.0,2.0,1.0,17.0,96,135.0
2012-05-02,1,5,2,16,1.0,0.0,2.0,1.0,25.0,66,367.0
2012-05-04,1,5,4,5,1.0,0.0,2.0,1.0,17.6,94,24.0
2012-05-02,1,5,2,17,1.0,0.0,2.0,1.0,25.9,64,729.0
2012-05-02,1,5,2,19,1.0,0.0,2.0,1.0,24.9,65,504.0
2012-05-04,1,5,4,8,1.0,0.0,2.0,1.0,16.5,98,618.0
2012-05-02,1,5,2,20,1.0,0.0,2.0,1.0,24.5,65,338.0
2012-05-02,1,5,2,18,1.0,0.0,2.0,1.0,26.8,62,813.0
2012-05-04,1,5,4,4,1.0,0.0,2.0,1.0,18.2,92,4.0
2011-04-14,0,4,3,23,1.0,0.0,2.0,1.0,18.5,54,47.0
2011-06-28,0,6,1,16,1.0,0.0,3.0,1.0,28.7,69,261.0
2011-04-14,0,4,3,15,1.0,0.0,2.0,1.0,15.1,58,142.0
2011-04-14,0,4,3,16,1.0,0.0,2.0,1.0,16.9,52,202.0
2011-04-14,0,4,3,17,1.0,0.0,2.0,1.0,18.3,46,388.0
2011-04-14,0,4,3,22,1.0,0.0,2.0,1.0,20.2,39,104.0
2011-04-14,0,4,3,18,1.0,0.0,2.0,1.0,19.3,42,337.0
2012-05-04,1,5,4,0,1.0,0.0,2.0,1.0,22.1,77,89.0
2012-05-03,1,5,3,23,1.0,0.0,2.0,1.0,24.2,69,121.0
2012-05-03,1,5,3,22,1.0,0.0,2.0,1.0,25.9,63,246.0
2012-05-03,1,5,3,21,1.0,0.0,2.0,1.0,27.0,60,299.0
2012-05-03,1,5,3,20,1.0,0.0,2.0,1.0,27.2,59,420.0
2012-05-03,1,5,3,19,1.0,0.0,2.0,1.0,26.8,60,522.0
2011-04-13,0,4,2,20,1.0,0.0,2.0,1.0,13.7,67,126.0
2012-05-01,1,5,1,18,1.0,0.0,2.0,1.0,26.8,54,743.0
2012-05-10,1,5,3,14,1.0,0.0,2.0,1.0,15.1,59,247.0
2012-05-10,1,5,3,12,1.0,0.0,2.0,1.0,12.5,81,272.0
2011-03-22,0,3,1,0,1.0,0.0,2.0,1.0,16.8,86,11.0
2011-03-28,0,3,0,18,1.0,0.0,2.0,1.0,6.1,34,241.0
2011-03-28,0,3,0,20,1.0,0.0,2.0,1.0,7.9,31,112.0
2011-04-29,0,4,4,12,1.0,0.0,2.0,1.0,14.6,71,223.0
2011-04-29,0,4,4,13,1.0,0.0,2.0,1.0,16.7,57,308.0
2011-04-29,0,4,4,14,1.0,0.0,2.0,1.0,17.4,49,248.0
