dteday,month,dayofweek,hour,holiday,season,weather,temperature,humidity,count
2011-01-01,1,6,0,0,1,1,4.3,82,16
2011-01-01,1,6,1,0,1,1,3.4,86,40
2011-01-01,1,6,2,0,1,1,2.7,89,32
2011-01-01,1,6,3,0,1,1,2.2,91,13
2011-01-01,1,6,4,0,1,1,1.8,93,1
2011-01-01,1,6,5,0,1,1,1.7,94,1
2011-01-01,1,6,6,0,1,1,1.6,96,2
2011-01-01,1,6,7,0,1,1,1.3,96,3
2011-01-01,1,6,8,0,1,1,1.3,98,8
2011-01-01,1,6,9,0,1,1,1.6,98,14
2011-01-01,1,6,10,0,1,1,1.9,98,36
2011-01-01,1,6,11,0,1,1,2.7,99,56
2011-01-01,1,6,12,0,1,1,3.6,98,84
2011-01-01,1,6,13,0,1,1,4.5,98,94
2011-01-01,1,6,14,0,1,1,6.9,95,106
2011-01-01,1,6,15,0,1,1,9.3,91,110
2011-01-01,1,6,16,0,1,1,11.4,86,93
2011-01-01,1,6,17,0,1,1,13.1,82,67
2011-01-01,1,6,18,0,1,1,13.7,82,35
2011-01-01,1,6,19,0,1,1,14.7,80,37
2011-01-01,1,6,20,0,1,1,14.5,82,36
2011-01-01,1,6,21,0,1,1,13.9,85,34
2011-01-01,1,6,22,0,1,1,13.3,89,28
2011-01-01,1,6,23,0,1,2,12.9,92,39
2011-01-02,1,7,0,0,1,2,12.7,95,17
2011-01-02,1,7,1,0,1,2,12.7,96,17
2011-01-02,1,7,2,0,1,3,12.9,96,9
2011-01-02,1,7,3,0,1,2,13.1,97,6
2011-01-02,1,7,4,0,1,2,13.3,97,3
2011-01-02,1,7,5,0,1,2,13.4,97,3
2011-01-02,1,7,6,0,1,1,13.4,97,2
2011-01-02,1,7,7,0,1,1,13.8,97,1
2011-01-02,1,7,8,0,1,2,13.8,97,8
2011-01-02,1,7,9,0,1,2,13.8,98,20
2011-01-02,1,7,10,0,1,2,13.2,97,53
2011-01-02,1,7,11,0,1,1,10.4,92,70
2011-01-02,1,7,12,0,1,1,8.1,85,93
2011-01-02,1,7,13,0,1,1,7.7,81,75
2011-01-02,1,7,14,0,1,1,7.5,75,59
2011-01-02,1,7,15,0,1,1,7.3,71,74
2011-01-02,1,7,16,0,1,1,7.1,67,76
2011-01-02,1,7,17,0,1,1,6.8,64,65
2011-01-02,1,7,18,0,1,2,6.3,64,53
2011-01-02,1,7,19,0,1,1,8.6,77,30
2011-01-02,1,7,20,0,1,2,8.0,76,22
2011-01-02,1,7,21,0,1,2,7.1,77,31
2011-01-02,1,7,22,0,1,2,6.4,77,9
2011-01-02,1,7,23,0,1,1,5.9,72,8
2011-01-03,1,1,0,0,1,1,5.3,56,5
2011-01-03,1,1,1,0,1,1,4.2,40,2
2011-01-03,1,1,2,0,1,1,3.1,35,2
2011-01-03,1,1,3,0,1,1,1.8,36,2
2011-01-03,1,1,4,0,1,1,0.9,36,1
2011-01-03,1,1,5,0,1,1,0.1,36,3
2011-01-03,1,1,6,0,1,1,-0.5,36,30
2011-01-03,1,1,7,0,1,1,-0.6,40,64
2011-01-03,1,1,8,0,1,1,-1.0,38,154
2011-01-03,1,1,9,0,1,1,-1.4,38,88
2011-01-03,1,1,10,0,1,1,-1.6,37,44
